"revisited","avg_avg_bitrate","avg_buffer_ratio","avg_buffer_underruns","avg_playtime","avg_startup_time","avg_bitrate","bufferRatio","buffer_underruns","playtime","startup_time","betterBitrate","betterBufferRatio","betterBufferUnderruns","betterPlayTime","betterStartupTime","visitsSameDay","user_id"
0,1477106.66666667,5.01960784313725,0.333333333333333,58.6666666666667,1672,1637460,15.0588235294118,1,51,2084,0,0,0,0,0,0,19110
0,11719055.5430907,0.943705718713934,0.203641975308642,2185.04110579004,2333.64399566448,3590590,3.65513833992095,2,4048,1983,0,0,0,0,0,0,8789
0,0,0,0,105.5759375,3228.72828125,0,0,0,157,2918,0,0,0,0,0,0,118337
0,0,NA,0,0.5,0,0,NA,0,0,0,0,0,0,0,0,0,168370
0,657466.7,NA,0,1997.94388888889,26905.2061805556,1478900,0,0,7680,120000,0,0,0,0,0,0,159059
0,6473.38250988281,0.0667496842434179,0.146570819227431,3677.93801433702,609.360949328342,0,0,0,5641,0,0,0,0,0,0,0,206656
0,1434850,0.177012843529899,0.5,7265.5,5464,1403300,0.708051374119597,2,7241,3482,0,0,0,0,0,0,182103
0,5862308.75,0,0,4889.75,2076.453125,7107580,0,0,7597,1146,0,0,0,0,0,0,107506
0,1267467.14742889,0,0,620.141621219746,2087.02421162067,1251540,0,0,116,1952,0,0,0,0,0,0,119071
0,1561337.01810292,15.416376727211,4.61344563439609,2906.41510719735,3287.94532613487,1701500,4.08833922261484,16,2547,2679,0,0,0,0,0,0,64779
0,985333.333333333,0,0,4857,2779,1478000,0,0,7261,2280,0,0,0,0,0,0,126396
0,1455460,0,0,48,3552,1455460,0,0,48,3552,0,0,0,0,0,0,273399
0,0,0,0,36.6666666666667,4935.66666666667,0,0,0,102,3222,0,0,0,0,0,0,183246
0,1528553.41216094,NA,0,2638.3555320044,3719.50173580004,1620250,0,0,6037,2536,0,0,0,0,0,0,9809
0,1628560,0,0,3649.5,6420,1492540,0,0,3286,8190,0,0,0,0,0,0,189898
0,1864040,0,0,3252,6253.5,2083830,0,0,1056,5779,0,0,0,0,0,0,109938
0,3243007.72653306,38.7218466082167,1.09074321186952,1797.38837835189,3922.9124647114,6344690,0,0,6983,2747,0,0,0,0,0,0,8832
0,0,0.720295529086829,0.64,5572.52,2875.728,0,5.62730882099085,5,5793,3883,0,0,0,0,0,0,162048
0,1727219.46436076,2.117313021812,0.286935258893461,1094.98420001888,5359.10309516326,2740080,0,0,2335,2045,0,0,0,0,0,0,29809
0,1043602.33922677,NA,0.0206901495166106,1688.01730045649,1658.16470840445,1215100,0,0,3500,2008,0,0,0,0,0,0,150830
0,2459556.73847003,3.7770962463351,0.765456753574496,1960.30631988509,4493.4855309999,1615830,0,0,2447,10873,0,0,0,0,0,0,229794
0,0,5.54251722035369,0.0282385002384006,1535.73097396699,4640.99902847035,0,0,0,17,5686,0,0,0,0,0,0,194394
0,1584620,0,0,662,13373,1584620,0,0,662,13373,0,0,0,0,0,0,98976
0,1581549.0625,0,0,3383.15625,3614.28125,1625580,0,0,6684,4311,0,0,0,0,0,0,186759
0,0,0,0,70.84375,1324.96875,0,0,0,157,1277,0,0,0,0,0,0,290849
0,2194015.05791786,10.9509203326156,0.630920147063758,2797.52141372599,4152.95488522832,3075840,3.1332560834299,4,2589,2928,0,0,0,0,0,0,14385
0,2946270.80842209,4.57736484704957,0.0929447899466912,878.310393171057,3440.34428842263,6161750,0,0,5394,2342,0,0,0,0,0,0,56294
0,1153037.578125,0,0,182.3671875,1825.20703125,1060210,0,0,171,1556,0,0,0,0,0,0,276251
0,0,NA,0,361.812857539836,1261.62456652349,0,0,0,16,3666,0,0,0,0,0,0,228128
0,1648299.16666667,1.1421568627451,0.0277777777777778,2157.05555555556,6968.47222222222,3094270,0,0,381,9152,0,0,0,0,0,0,23447
0,0,8.43985854404114,2,1553.83333333333,4597.33333333333,0,0.0906432748538012,2,1026,7243,0,0,0,0,0,0,170950
0,801772.5,0,0,76.25,2675.25,0,0,0,36,1283,0,0,0,0,0,0,139361
0,1485000,0,0,5503,3150,1485000,0,0,5503,3150,0,0,0,0,0,0,291832
0,1544013.0161732,0.000573445761523057,6.39076011721183e-06,810.131141530184,2843.37661373473,1601050,0,0,2327,3243,0,0,0,0,0,0,12655
0,1490425,0,0,3725,2147,1758060,0,0,7375,4262,0,0,0,0,0,0,172888
0,0,0,0,2,15363,0,0,0,2,15363,0,0,0,0,0,0,222014
0,11948200,0,0,208.5,1269.5,11893800,0,0,41,1083,0,0,0,0,0,0,229851
0,0,0,0,68,0,0,0,0,68,0,0,0,0,0,0,0,139541
0,2521482.0625,0,0,73.625,1146.84375,127700,0,0,65,0,0,0,0,0,0,0,168669
0,1634646.29868164,28.0795581951671,3.28291015625,1978.1911702474,2821.80287272135,2231080,0,0,4435,1623,0,0,0,0,0,0,1010
0,0,0,0,35.5,3814.5,0,0,0,20,1767,0,0,0,0,0,0,89516
0,2220426.97594391,56.5384704340232,4.51020637098003,1392.46202834934,3286.64337143728,3994980,0,0,5654,2174,0,0,0,0,0,0,89111
0,91343.5231202755,NA,0.140252210611327,227.546315417698,965.376046756612,0,0,0,2,0,0,0,0,0,0,0,59653
0,5963382.13426103,1.94488607408419,0.162426538774984,2060.90962832911,2338.97540157113,5524560,14.0798611111111,1,576,1050,0,0,0,0,0,0,37257
0,1528553.41216094,NA,0,2638.3555320044,3719.50173580004,1620250,0,0,6037,2536,0,0,0,0,0,0,9809
0,2926317.70833333,0,0,693.520833333333,3911.4375,3558190,0,0,26,7279,0,0,0,0,0,0,44378
0,0,0,0,121,2450,0,0,0,121,2450,0,0,0,0,0,0,284384
0,0,47.1519795657727,0.888888888888889,78.7057291666667,3488.31423611111,0,0,0,39,4483,0,0,0,0,0,0,213262
0,3484865,0,0,7465.5,4952.5,3449710,0,0,6929,7144,0,0,0,0,0,0,191391
0,2907876.97876543,0,0,1855.29585733882,5807.96027434842,3125000,0,0,36,5953,0,0,0,0,0,0,130988
0,2467380,0.120194408038445,1.5,4611,3815,3353100,0.240388816076889,3,9156,3379,0,0,0,0,0,0,179657
0,1482801.22535894,0.406886355633122,0.018136303042379,1913.95575967974,5060.39436891134,1562710,0,0,5627,5089,0,0,0,0,0,0,35417
0,429896.25,NA,0,795.875,642.625,0,0,0,1,0,0,0,0,0,0,0,214306
0,7215100,0,0,2518,1842,7236990,0,0,4975,2094,0,0,0,0,0,0,82473
0,1094295.43793375,0.046532265404569,0.104166666666667,5040.43279688774,4575.79717312006,1488530,0,0,7661,11409,0,0,0,0,0,0,153072
0,0,0,0,128,3111,0,0,0,128,3111,0,0,0,0,0,0,293011
0,11369924.375,0,0,3241.6875,1807.6875,11771900,0,0,6197,1002,0,0,0,0,0,0,250888
0,1239650,0,0,8224,4801,1239650,0,0,8224,4801,0,0,0,0,0,0,285124
0,3420500,0,0,8018,2840,3420500,0,0,8018,2840,0,0,0,0,0,0,238812
0,1532258.75,0,0,158,2984.625,1531700,0,0,154,2725,0,0,0,0,0,0,255487
0,3333992.5,0.211921128798842,1,4978.75,3466.25,3466130,0.423842257597685,2,5528,3514,0,0,0,0,0,0,253775
0,0,0,0,7355.5,8783,0,0,0,9958,13988,0,0,0,0,0,0,202253
0,1600784.44444444,0.0605272080681917,0.444444444444444,3471.74074074074,2318.33333333333,1617140,0.408558654460294,3,4697,2603,0,0,0,0,0,0,182815
0,1552440,0,0,15,5369,1552440,0,0,15,5369,0,0,0,0,0,0,140351
0,5925605,0,0,3505.5,2837.5,10254300,0,0,6882,2749,0,0,0,0,0,0,96689
0,1283223.72,3.54266760337196,0.702,1516.083,4048.209,1586070,0,0,997,6158,0,0,0,0,0,0,249419
0,0,0.0175287456810559,0.0254792098244057,1333.41684898418,2706.0779992182,0,0,0,4648,2727,0,0,0,0,0,0,4756
0,5025340,0,0,146,2996,5025340,0,0,146,2996,0,0,0,0,0,0,294977
0,1626306.16214598,0.00344788085751395,0.0158137234485631,4227.13571168263,2781.67005040218,1610200,0,0,7493,1645,0,0,0,0,0,0,181009
0,0,0,0,108.5,4765,0,0,0,108,4113,0,0,0,0,0,0,230110
0,15762021.4145167,0.257915779245888,0.0250225767658776,2344.44982660445,1812.35990807396,16532200,0,0,3543,694,0,0,0,0,0,0,42111
0,1508140,0,0,107,7887,1471570,0,0,102,8055,0,0,0,0,0,0,39781
0,1600710,0,0,108,3376,1600710,0,0,108,3376,0,0,0,0,0,0,61867
0,1739450,0,0,3129.5,2241.875,3478900,0,0,6202,3081,0,0,0,0,0,0,32971
0,0,0,0,12,5771,0,0,0,12,5771,0,0,0,0,0,0,211439
0,1507245,0,0,119.25,2456.75,1492150,0,0,97,1603,0,0,0,0,0,0,166644
0,0,0,0,30.8333333333333,1295,0,0,0,81,1594,0,0,0,0,0,0,267002
0,0,0,0,158,7396,0,0,0,158,7396,0,0,0,0,0,0,254649
0,3443460,0.00964685615848406,1,5805,3171,3443460,0.00964685615848406,1,5805,3171,0,0,0,0,0,0,106047
0,1471225.0390625,0,0,74.390625,4509.638671875,1542120,0,0,104,3356,0,0,0,0,0,0,9565
0,0,0.548558456299659,0.56,1486.64,3941.52,0,0,0,5958,3594,0,0,0,0,0,0,119337
0,2191072.5,0,0,4,102.5,0,0,0,3,105,0,0,0,0,0,0,98027
0,0,0,0,132,7002,0,0,0,132,7002,0,0,0,0,0,0,72108
0,0,0,0,70.5,9208,0,0,0,108,3587,0,0,0,0,0,0,75514
0,1429116.95113169,0,0,1397.39711934156,1166.34362139918,1455050,0,0,131,68,0,0,0,0,0,0,121715
0,1616100,0.617598229109021,1,1807,6822,1616100,0.617598229109021,1,1807,6822,0,0,0,0,0,0,46310
0,0,0,0,82,4431.5,0,0,0,62,4279,0,0,0,0,0,0,114941
0,0,0,0,2373.8748550415,1911.88536453247,0,0,0,8738,3073,0,0,0,0,0,0,159924
0,3498020,0,0,5893,3663,3498020,0,0,5893,3663,0,0,0,0,0,0,120617
0,1756910,0,0,113,2,1756910,0,0,113,2,0,0,0,0,0,0,280699
0,2469355.625,182.508844445432,1,2387.6875,1732.9375,2843030,2.45881836151988,1,4553,1882,0,0,0,0,0,0,292490
0,0,0,0,952.32096329158,2900.37281867118,0,0,0,6845,3488,0,0,0,0,0,0,128054
0,0,3998,4,2,61162,0,3998,4,2,61162,0,0,0,0,0,0,290161
0,1406930,2.07227958697379,3,6295,4523,1406930,2.07227958697379,3,6295,4523,0,0,0,0,0,0,273851
0,0,0,0,76,2925,0,0,0,51,3102,0,0,0,0,0,0,293759
0,0,0,0,69,4229.5,0,0,0,3,2994,0,0,0,0,0,0,191707
0,0,180.887005649718,3,177,26434,0,180.887005649718,3,177,26434,0,0,0,0,0,0,167898
0,2179259.03209877,0,0,668.594074074074,3900.41580246914,1925770,0,0,1423,5844,0,0,0,0,0,0,34420
0,1851747.03703704,0.00729680323209979,0.296296296296296,3872.40740740741,3053.03703703704,1615590,0,0,7251,2718,0,0,0,0,0,0,164213
0,1289117.5,0,0,89.5,1602.625,1247970,0,0,99,1376,0,0,0,0,0,0,65308
0,1584859.82421875,0,0,1872.251953125,7404.68505859375,1518680,0,0,144,3244,0,0,0,0,0,0,174222
0,0,22.0849631521657,2.33333333333333,1579.41015625,1945.3515625,0,0,0,563,0,0,0,0,0,0,0,224859
0,0,0,0,139,3874,0,0,0,139,3874,0,0,0,0,0,0,100277
0,684225,4.40251572327044,0.5,3066,4573.5,1368450,0,0,5973,5067,0,0,0,0,0,0,201766
0,3469260,0,0,7992,3406,3469260,0,0,7992,3406,0,0,0,0,0,0,285945
0,0,1.65401533597266,0.0431989897010473,55.1006065180734,5072.95032696816,0,0,0,17,6127,0,0,0,0,0,0,129206
0,6975610,0,0,34,3264,6975610,0,0,34,3264,0,0,0,0,0,0,242359
0,0,9.84586385345652,0.169688165353502,1674.94756927483,3099.74120501074,0,0,0,130,2147,0,0,0,0,0,0,68149
0,0,23.3509716984833,0.594653305898491,1509.71606425423,7598.71676321902,0,0,0,2359,8639,0,0,0,0,0,0,190818
0,1078964.41901861,10.5220745777695,0.211503710188782,2537.51493289361,3767.38391852034,3372000,0,0,9305,4171,0,0,0,0,0,0,178583
