revisited,avg_avg_bitrate,avg_buffer_ratio,avg_buffer_underruns,avg_playtime,avg_startup_time,avg_bitrate,bufferRatio,buffer_underruns,playtime,startup_time,betterBitrate,betterBufferRatio,betterBufferUnderruns,betterPlayTime,betterStartupTime,visitsSameDay
0,1.474878,0.0,0.0,91.02000000000001,5.494800000000001,1.469,0.0,0.0,96.98333333333333,6.852,0.0,0.0,0.0,0.0,1.0,0
0,0.0,1.6373089771957587,0.13861386138613863,34.788613861386125,3.047534653465347,0.0,0.0,0.0,1.3,3.541,0.0,0.0,0.0,0.0,1.0,1
0,0.0,0.09724082243579645,0.3181818181818182,44.50303030303029,2.870909090909091,0.0,0.0,0.0,49.21666666666667,3.724,0.0,0.0,0.0,0.0,0.0,0
0,1.6565170000000011,5.836232841593053,1.4126213592233015,27.079207119741074,1.9657087378640776,3.39105,0.0,0.0,17.3,1.904,0.0,0.0,0.0,0.0,0.0,2
0,2.045878945454546,2.392053166409867,0.13333333333333333,26.067777777777778,2.923490909090909,2.82852,0.0,0.0,3.55,3.151,1.0,0.0,0.0,0.0,1.0,8
0,3.134057857142857,0.0,0.0,5.59047619047619,1.5557142857142858,0.256009,0.0,0.0,32.65,8.224,0.0,0.0,0.0,0.0,0.0,0
0,1.220375238095238,0.0,0.0,15.031349206349205,2.087642857142857,0.0,0.0,0.0,2.15,1.323,0.0,0.0,0.0,1.0,1.0,0
0,6.9925875,1.5573595600020596,0.11666666666666674,33.87124999999999,2.0278333333333323,7.89199,8.129126362659298,3.0,108.55,1.761,0.0,0.0,0.0,1.0,1.0,0
0,1.0043689099999997,4.930579857913441,0.4199999999999997,29.697833333333335,3.838299999999999,2.58014,5.511737089201878,3.0,42.6,3.38,1.0,1.0,1.0,1.0,0.0,0
0,1.144253014234875,2.920642988086572,0.29893238434163716,11.874792408066428,3.2869893238434176,1.57716,0.0,0.0,21.65,5.873,1.0,0.0,0.0,1.0,0.0,0
0,21.598848399999994,9.026953052361751,0.2571428571428571,44.876666666666665,2.3276857142857144,26.2723,0.0,0.0,100.91666666666667,1.39,1.0,0.0,0.0,0.0,1.0,1
0,5.246808926829268,0.2414482840444378,0.1951219512195122,32.18699186991871,2.5397317073170735,10.5187,0.0,0.0,114.48333333333333,1.498,0.0,1.0,1.0,1.0,1.0,0
0,0.47394444444444445,5.898747910391896,0.7777777777777778,24.50185185185185,9.092555555555553,1.22194,0.0,0.0,2.6,9.004,0.0,1.0,1.0,0.0,0.0,6
0,0.7375382580645161,4.10386784748312,0.28387096774193543,10.47741935483871,2.3305290322580667,3.47152,0.0,0.0,39.416666666666664,2.616,1.0,0.0,0.0,1.0,1.0,0
0,1.9731863025210088,5.786154483471617,1.4453781512605042,32.08361344537817,1.9886302521008397,3.46205,0.0,0.0,90.5,1.727,1.0,0.0,0.0,1.0,1.0,0
0,1.83676,1.8291550493829078,1.5,68.45416666666667,9.59325,3.41775,0.0,0.0,41.18333333333333,10.428,1.0,0.0,0.0,1.0,0.0,0
0,0.0,17.05706693289198,0.16279069767441862,1.8806201550387593,3.565593023255815,0.0,0.0,0.0,1.6166666666666667,4.017,0.0,1.0,1.0,0.0,1.0,1
0,29.8959420754717,2.567889677019763,0.14150943396226418,31.31053459119496,1.3497358490566054,43.7321,0.0,0.0,86.73333333333333,1.111,0.0,0.0,0.0,1.0,0.0,0
0,0.7498916197183095,24.231214431562947,0.28169014084507044,41.66220657276997,2.1358309859154923,1.47658,0.0,0.0,177.96666666666667,2.601,1.0,0.0,0.0,1.0,0.0,0
0,0.0,0.0,0.0,1.225,3.007,0.0,0.0,0.0,1.1,5.352,0.0,0.0,0.0,0.0,0.0,0
0,1.7065350775862071,29.30343058097324,1.1551724137931034,13.148994252873571,5.766698275862068,1.60467,0.0,0.0,1.7,4.45,1.0,0.0,0.0,1.0,1.0,0
0,1.530004668202765,2.445220536982866,1.0000000000000009,39.30745007680493,2.489741935483875,1.6051,0.0,0.0,64.15,1.654,1.0,0.0,0.0,1.0,0.0,0
0,0.6048070422740538,23.35528603460622,0.6997084548104955,27.206972789115678,2.7025247813411095,0.0,0.0,0.0,41.21666666666667,1.924,0.0,0.0,0.0,1.0,1.0,5
0,1.5562460917431185,1.6970559296044332,1.5229357798165137,19.263608562691147,1.648788990825688,0.0,0.0,0.0,0.08333333333333333,1.605,0.0,0.0,0.0,0.0,1.0,4
0,1.4262959423076909,18.676002172399883,0.2115384615384615,23.63758012820514,4.500259615384611,1.60734,0.0,0.0,41.36666666666667,5.415,0.0,0.0,0.0,1.0,0.0,3
0,19.038606454545466,3.9414568245875885,0.2066115702479339,25.533884297520668,2.2711570247933888,1.96236,0.0,0.0,14.116666666666667,1.923,0.0,0.0,0.0,1.0,0.0,1
0,0.0,7.6873836661518045,0.8664688427299699,19.250445103857547,3.9308575667655785,0.0,2.3646663869072597,4.0,39.71666666666667,5.704,0.0,0.0,0.0,1.0,0.0,7
0,0.0,6.584043803134451,0.8060606060606069,25.80777777777775,7.342200000000002,0.0,0.0,0.0,15.9,10.562,0.0,1.0,1.0,0.0,0.0,2
0,1.3166887058823535,0.017983933661570355,0.058823529411764705,87.83333333333334,6.779529411764706,1.61819,0.0,0.0,110.2,12.454,1.0,0.0,0.0,1.0,0.0,0
0,0.4634316666666667,121.69405751676189,4.333333333333333,1.586111111111111,16.7835,1.10705,206.4720812182741,1.0,3.283333333333333,6.25,1.0,0.0,0.0,1.0,0.0,3
0,0.11642228571428569,4.71444957675058,0.8857142857142856,175.73619047619047,2.011028571428571,0.0,0.0,0.0,1.5,1.765,0.0,0.0,0.0,1.0,0.0,3
0,0.0,5.351614556809038,0.10782865583456416,4.890423436730677,6.6897680945347195,0.0,0.0,0.0,20.033333333333335,9.862,0.0,0.0,0.0,1.0,0.0,4
0,1.300706666666667,40.09786614891142,0.7327327327327324,20.51011011011008,5.387075075075075,3.46363,0.537943332672875,1.0,84.11666666666666,3.531,1.0,0.0,0.0,1.0,0.0,9
0,1.3498303181818179,15.308078381309407,0.5064935064935064,46.242965367965326,1.5804025974025975,1.27389,0.0,0.0,31.8,0.0,0.0,0.0,0.0,1.0,1.0,0
0,1.9812518791469163,3.7773292874642768,0.5450236966824642,29.126303317535534,3.3652037914691952,1.65037,2.362521891418564,1.0,9.516666666666667,0.89,1.0,1.0,1.0,1.0,1.0,27
0,2.6949679285714274,0.0,0.0,64.31468253968254,4.272214285714286,1.75674,0.0,0.0,85.05,3.948,0.0,0.0,0.0,1.0,1.0,1
0,0.19025838323353292,0.7132421936271415,0.17365269461077848,20.05788423153693,2.50122754491018,0.0,0.0,0.0,33.733333333333334,2.508,0.0,0.0,0.0,1.0,1.0,5
0,0.9905260714285711,6.635800396368736,0.5535714285714285,25.15595238095239,2.0649642857142854,1.24335,0.0,0.0,2.566666666666667,1.923,1.0,0.0,0.0,1.0,0.0,0
0,0.056802692307692304,8.49821109123435,0.038461538461538464,3.5115384615384615,1.9774615384615386,0.0,0.0,0.0,8.866666666666667,0.0,0.0,0.0,0.0,1.0,1.0,4
0,0.0,0.0,0.0,1.7462365591397853,2.031129032258065,0.0,0.0,0.0,1.05,1.948,0.0,0.0,0.0,1.0,1.0,0
0,0.04925636363636364,0.0,0.0,34.733333333333334,10.9209696969697,0.0,0.0,0.0,2.683333333333333,7.241,0.0,0.0,0.0,1.0,1.0,0
0,0.0,245.37707698037988,7.0,46.71666666666667,27.43,0.0,0.0,0.0,7.366666666666666,8.99,0.0,1.0,1.0,0.0,1.0,0
0,2.4706880625,0.0,0.0,36.68125,1.819625,2.67749,0.0,0.0,7.633333333333334,2.448,1.0,0.0,0.0,0.0,1.0,1
0,2.1948419318181824,7.855434757492575,0.7045454545454545,17.530303030303028,7.80675,1.61914,0.0,0.0,0.8833333333333333,19.482,1.0,0.0,0.0,1.0,0.0,0
0,0.11144,28.138959977532203,1.4482758620689653,24.754597701149418,6.5985517241379315,0.0,0.0,0.0,67.83333333333333,4.511,0.0,0.0,0.0,0.0,1.0,1
0,0.0,0.0,0.0,1.35,2.424875,0.0,0.0,0.0,0.03333333333333333,2.12,0.0,0.0,0.0,0.0,0.0,0
0,0.0,0.3870149183415689,0.033333333333333326,25.877500000000005,2.892133333333333,0.0,0.0,0.0,113.28333333333333,2.793,0.0,0.0,0.0,1.0,1.0,1
0,1.511212,0.753064749661986,0.2,31.810476190476184,2.335085714285714,1.60631,0.0,0.0,21.533333333333335,1.889,0.0,0.0,0.0,1.0,0.0,1
0,0.11670219548872181,14.457923151109151,1.1278195488721803,8.327944862155393,4.011218045112782,0.0,0.0,0.0,29.716666666666665,5.754,0.0,0.0,0.0,1.0,0.0,2
0,0.0,0.0,0.0,13.2625,2.9068749999999994,0.0,0.0,0.0,1.2833333333333334,2.942,0.0,0.0,0.0,0.0,0.0,0
0,4.039809562841532,13.404739565268226,0.8852459016393438,28.29617486338798,2.956852459016393,3.5031,0.0,0.0,40.03333333333333,2.084,1.0,0.0,0.0,0.0,0.0,0
0,1.694819342105264,8.20096332806825,0.5065789473684215,39.73311403508772,2.968999999999998,0.528911,0.0,0.0,241.13333333333333,2.605,0.0,0.0,0.0,1.0,1.0,0
0,1.7146,0.0,0.0,117.91666666666667,5.57,1.7146,0.0,0.0,117.91666666666667,5.57,0.0,0.0,0.0,0.0,0.0,0
0,1.141371489361702,0.0,0.0,11.610992907801423,1.4273404255319146,0.583089,0.0,0.0,0.4166666666666667,1.507,0.0,0.0,0.0,0.0,1.0,4
0,6.577615849999998,3.727746435173015,0.23500000000000015,12.888249999999989,3.398215000000001,11.6346,0.0,0.0,0.55,2.032,1.0,0.0,0.0,0.0,1.0,4
0,1.5990775342465746,0.015276658608648939,0.0136986301369863,22.224200913242022,3.1932054794520535,1.60926,0.0,0.0,17.033333333333335,2.08,0.0,0.0,0.0,0.0,1.0,1
0,1.7391744199999999,2.3081500321089776,0.31999999999999995,27.547,3.19728,1.75772,0.0,0.0,89.63333333333334,4.203,0.0,0.0,0.0,1.0,1.0,0
0,1.8725169699570823,7.143840132936659,4.6781115879828326,23.6354077253219,2.3062188841201725,1.63091,0.0,0.0,120.16666666666667,2.441,1.0,1.0,1.0,1.0,0.0,0
0,1.3519625000000002,3.097917934168284,1.2058823529411766,21.759313725490195,3.482205882352941,1.61765,0.33854545454545454,3.0,45.833333333333336,3.289,1.0,0.0,0.0,1.0,0.0,2
0,1.6714463333333325,0.7190007079116162,0.023809523809523805,19.958068783068768,3.0835079365079356,1.6102,0.0,0.0,139.61666666666667,3.358,0.0,0.0,0.0,1.0,0.0,2
0,0.6445944444444445,0.08007503949447077,0.1111111111111111,48.916666666666664,3.533,0.0,0.0,0.0,3.45,2.064,0.0,0.0,0.0,1.0,0.0,1
